Source,Target,Type,Id,Label,Weight
7,10.9728125,Directed,1097,,6
2,40,Directed,1098,,4
2,18.75,Directed,1100,,6
2,20.16666667,Directed,1101,,2
2,19.45833333,Directed,1102,,1
2,25.06821705,Directed,1103,,1
41,34,Directed,1104,,6
41,3,Directed,1105,,153
41,6.5,Directed,1106,,57
41,7.916666667,Directed,1107,,4
41,7.208333333,Directed,1108,,1
41,21.17010309,Directed,1109,,210
44,24,Directed,1110,,8
44,6.5,Directed,1112,,42
44,7.916666667,Directed,1113,,6
44,7.208333333,Directed,1114,,3
44,20.50146199,Directed,1115,,31
35,7,Directed,1116,,103
35,4,Directed,1117,,302
35,6.5,Directed,1118,,74
35,7.916666667,Directed,1119,,8
35,7.208333333,Directed,1120,,2
35,11.46666667,Directed,1121,,305
31,14,Directed,1124,,49
31,15.33333333,Directed,1125,,4
31,14.66666667,Directed,1126,,2
31,31.54119718,Directed,1127,,4
9,21.83333333,Directed,1130,,4
9,23.16666667,Directed,1131,,1
9,22.5,Directed,1132,,27
37,37,Directed,1134,,96
37,3,Directed,1135,,45
37,12.5,Directed,1136,,37
37,13.83333333,Directed,1137,,6
37,13.16666667,Directed,1138,,8
37,9.428313253,Directed,1139,,4
22,9,Directed,1140,,38
22,1,Directed,1141,,10
22,7,Directed,1142,,46
22,8.333333333,Directed,1143,,4
22,7.666666667,Directed,1144,,3
22,6.298222222,Directed,1145,,9
6,31,Directed,1146,,5
6,4.666666667,Directed,1148,,1
6,6,Directed,1149,,43
6,5.333333333,Directed,1150,,1
1,48,Directed,1152,,2
1,7,Directed,1154,,71
1,8.333333333,Directed,1155,,4
1,7.666666667,Directed,1156,,10
21,33,Directed,1158,,11
21,11.33333333,Directed,1160,,3
21,12.66666667,Directed,1161,,5
21,12,Directed,1162,,32
21,2.65,Directed,1163,,1
41,5.166666667,Directed,1166,,2
41,5.833333333,Directed,1168,,5
1,6.666666667,Directed,1172,,17
1,7.333333333,Directed,1174,,12
6,50,Directed,1176,,3
6,2,Directed,1177,,138
6,6.666666667,Directed,1178,,8
6,7.333333333,Directed,1180,,6
6,12.66666667,Directed,1190,,4
6,14,Directed,1191,,15
6,13.33333333,Directed,1192,,2
31,15,Directed,1194,,17
31,17.5,Directed,1196,,22
31,18.83333333,Directed,1197,,2
31,18.16666667,Directed,1198,,12
31,45.2325,Directed,1199,,4
9,41,Directed,1200,,62
9,18.66666667,Directed,1202,,50
9,19.33333333,Directed,1204,,42
9,4.232852113,Directed,1205,,2
48,1,Directed,1206,,7
48,2,Directed,1207,,20
48,17.33333333,Directed,1209,,5
48,16.66666667,Directed,1210,,5
48,8.671875,Directed,1211,,2
31,52,Directed,1212,,6
31,2,Directed,1213,,47
31,127.9346154,Directed,1217,,1
31,7.333333333,Directed,1221,,3
31,6.666666667,Directed,1222,,7
56,51,Directed,1224,,7
56,4,Directed,1225,,223
56,6,Directed,1226,,10
56,7.333333333,Directed,1227,,13
56,6.666666667,Directed,1228,,9
56,3.810119048,Directed,1229,,170
6,20.66666667,Directed,1232,,1
6,22,Directed,1233,,3
6,21.33333333,Directed,1234,,1
17,1,Directed,1236,,2
17,18,Directed,1238,,11
17,19.33333333,Directed,1239,,2
17,18.66666667,Directed,1240,,3
17,8.671875,Directed,1241,,1
24,3,Directed,1243,,156
24,18.5,Directed,1244,,30
24,19.83333333,Directed,1245,,1
24,19.16666667,Directed,1246,,5
30,48,Directed,1248,,11
30,3,Directed,1249,,18
30,11.38333333,Directed,1250,,1
30,12.66666667,Directed,1251,,4
30,12.025,Directed,1252,,1
30,27.45634921,Directed,1253,,2
52,14,Directed,1254,,23
52,6.233333333,Directed,1256,,2
52,7.5,Directed,1257,,21
52,6.866666667,Directed,1258,,2
5,55,Directed,1260,,7
5,6.416666667,Directed,1262,,1
